id_obra;nombre_obra;fecha_1;fecha_2;periodo
1;San Sebastián;1479;1480;Renacimiento
2;La Anunciación;1472;1475;Renacimiento
3;Bautismo de Cristo;1472;1475;Renacimiento
4;La Estatua de San Pedro;1300;1305;Gótico
5;El Santo Entierro;1602;1604;Barroco
6;Tondo Taddei;1504;1506;Renacimiento
7;Crucifixión de San Pedro;1600;1601;Barroco
8;La Anunciación;1607;1608;Barroco
9;La cabeza de Medusa;1596;1597;Barroco
10;María Magdalena Penitente;1453;1455;Renacimiento
11;La Libertad guiando al pueblo;1829;1830;Romanticismo
12;El juicio Final;1541;1563;Renacimiento
13;Pitufiescultura;2018;2019;Neoclasicismo Romano de mediados del siglo XVII 1/2
14;PitufiFresco;2019;2020;Neoclasicismo Romano de mediados del siglo XVII 1/2
15;La Fuente de Neptuno;1573;1574;Renacimiento
16;La Fuente de los Cuatro Ríos;1648;1651;Barroco
17;La anunciación;1618;1619;Barroco
18;Éxtasis de Santa Teresa;1645;1652;Barroco
19;Pulcin della Minerva;1666;1667;Barroco
20;Santos Piazza San Pietro;1656;1667;Barroco
21;Apolo y Dafne;1622;1625;Barroco
22;Maesta di Ognissanti;1309;1310;Gótico
23;La anunciación;1300;1304;Gótico
24;Polittico di Badia;1299;1300;Gótico
25;La consagración de Napoleón;1805;1807;Neoclasicismo
26;Manneken Pis;1618;1619;Barroco
27;La última cena;1495;1498;Renacimiento
28;La Mona Lisa;1503;1519;Renacimiento
29;La Piedad;1498;1499;Renacimiento
30;El David;1501;1504;Renacimiento
31;El Moisés;1513;1515;Renacimiento
32;La creación de Adán;1500;1511;Renacimiento
33;El Juicio Final;1537;1541;Renacimiento
34;Estancias de Rafael;1508;1524;Renacimiento
35;La transfiguración;1517;1520;Renacimiento
36;Madonna Sixtina;1513;1514;Renacimiento
37;Las Gracias;1504;1505;Renacimiento
38;La primavera;1477;1478;Renacimiento
39;El nacimiento de Venus;1482;1485;Renacimiento